Date,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
02-07,27.32,31.542,20.96,27.6,39.3,11.524,4.0,7.55,6.5,15.733,3.24,5.44,3.714,4.6,5.244,8.075,14.35,2.694,3.783,7.18
02-08,9.0,54.828,28.48,10.9,14.167,15.526,18.65,7.0,4.033,18.433,2.24,6.818,2.912,13.351,3.463,4.575,16.575,2.143,1.702,1.333
02-09,14.56,72.967,15.12,7.56,18.5,27.05,10.455,5.56,6.8,11.087,4.542,2.273,2.189,3.923,1.825,2.286,6.3,0.844,5.104,3.691
02-10,41.0,15.8,19.48,12.75,19.067,6.48,7.4,3.56,5.633,5.034,2.348,3.84,6.2,1.385,4.344,4.75,16.3,5.371,3.14,6.109
02-11,27.048,30.633,24.6,32.556,20.577,7.208,15.696,3.72,6.241,10.136,1.85,5.44,5.125,2.525,4.8,4.0,16.237,6.85,1.62,4.76
02-12,30.6,34.367,24.63,24.227,26.0,10.6,62.12,2.591,3.519,20.897,5.35,47.24,3.7,5.824,2.341,5.5,9.7,8.525,5.348,4.196
02-13,19.16,41.5,12.6,22.333,9.231,3.0,18.8,4.32,4.833,7.8,3.0,19.72,1.528,2.258,4.356,3.475,8.575,8.05,16.64,9.275
02-14,22.16,35.0,23.5,13.179,4.6,16.375,12.2,4.632,3.034,8.767,1.35,8.708,2.2,6.026,4.35,13.05,12.95,2.6,7.255,1.642
02-15,23.8,24.933,27.483,4.4,3.667,7.292,13.952,3.292,4.96,11.9,13.632,6.88,2.282,7.487,3.978,10.075,8.765,1.927,7.872,1.63
02-16,29.92,46.4,6.793,8.5,19.821,6.893,13.8,21.091,5.296,5.733,5.579,7.545,2.742,4.025,2.467,3.825,5.769,0.86,5.927,4.327
02-17,24.0,53.767,15.0,20.6,11.846,12.6,7.625,4.28,3.567,16.6,3.13,4.333,2.273,5.308,3.857,1.889,5.057,0.543,12.167,1.782
02-18,36.96,53.933,16.4,14.714,9.607,6.926,17.4,3.76,5.367,9.96,2.08,3.417,1.757,4.861,7.158,3.75,12.375,1.418,16.255,1.82
02-19,24.24,32.467,20.267,15.345,26.393,11.467,5.15,12.52,10.438,6.667,1.72,11.12,2.333,6.143,3.133,10.95,20.225,1.109,3.74,0.959
