,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
02-23,0.586,0.520,0.324,,0.099,0.780,0.581,0.386,0.578,0.310,0.107,,0.353,0.201,0.681,0.174,0.251,0.341,0.666,0.129
02-24,0.619,,,,0.070,0.611,0.964,,0.187,0.231,0.411,,0.296,0.077,0.500,0.460,0.598,0.311,0.827,0.275
02-25,0.578,0.866,0.563,,0.141,1.113,0.642,,0.274,0.147,0.234,,,0.066,0.754,0.433,0.815,0.867,0.554,0.625
02-26,0.714,0.904,0.409,,0.554,0.190,0.313,,,0.199,0.379,,0.486,0.082,0.725,0.324,1.056,0.236,0.631,0.202
02-27,0.748,0.636,0.328,,0.826,0.072,0.600,,,0.205,0.369,,0.426,0.064,0.536,0.363,,0.578,0.759,0.161
02-28,0.799,0.619,0.100,,0.407,,0.275,,,0.171,0.170,,0.409,0.306,0.287,0.232,0.767,0.447,0.778,0.270
03-01,0.826,0.609,0.125,,,,0.475,,,0.172,0.082,,0.433,0.421,0.460,0.434,,0.500,0.781,0.500
03-02,0.778,,0.051,0.914,0.111,,,,,0.232,0.089,,0.600,0.143,0.274,0.253,,0.398,0.849,0.350
03-03,0.317,,0.085,0.488,0.221,,,,,0.199,0.423,,0.659,0.166,0.625,0.810,,0.387,0.426,0.235
03-04,0.970,,0.277,0.497,0.475,,,,,0.239,0.236,,0.990,0.317,0.413,0.708,,0.499,0.335,0.515
03-05,0.907,,0.456,0.293,0.444,,,,,0.549,,,0.426,0.497,0.196,,,0.864,0.545,0.412
03-06,,0.592,0.513,0.491,0.649,,,,,0.681,0.451,,0.353,0.597,0.555,,,0.728,0.662,0.499
03-07,0.476,0.447,0.447,0.596,0.643,,,,0.119,0.888,0.597,,0.537,0.371,0.251,,,0.529,1.248,0.479
03-08,,0.729,0.612,0.507,0.281,,,,,0.613,0.296,,0.468,0.404,0.124,,0.496,0.784,0.701,0.379
03-09,0.803,0.877,0.496,0.290,0.556,,,,,0.736,0.114,,0.410,0.573,0.100,,,0.684,0.520,0.637
03-10,0.811,0.222,0.519,0.605,0.777,,,,0.100,0.920,,,0.541,0.165,0.093,,,0.972,0.437,0.747
03-11,0.640,0.227,0.624,0.677,0.667,,,,,0.724,,,0.653,0.160,0.065,,0.033,0.416,0.264,0.500
03-12,0.534,0.220,1.037,1.344,0.760,,,,0.618,0.932,,,0.403,,0.460,,0.196,0.531,0.648,0.268
03-13,0.620,0.860,0.443,1.083,,,,,0.274,1.011,,,0.378,,0.493,,0.417,1.156,0.445,0.312
03-14,0.606,0.158,0.698,0.841,0.180,,,1.035,0.497,,,,0.322,,0.374,,0.459,0.681,0.697,0.582
03-15,0.437,0.313,0.279,0.434,,,,0.581,0.613,0.391,0.089,,0.485,,0.414,,0.582,,0.516,0.761
03-16,0.446,0.299,0.608,0.155,,,,0.360,0.334,0.427,,,0.561,,0.086,,,1.049,0.417,
03-17,0.807,,0.644,0.124,,,,0.334,0.186,0.857,,,0.307,,0.309,0.562,1.107,0.522,0.531,1.680
03-18,0.432,0.230,0.811,0.181,0.999,,,0.219,,0.499,,,,,0.080,0.323,,,0.418,0.453
03-19,0.356,1.213,0.482,0.260,0.367,,0.095,0.350,0.793,0.283,,,0.328,0.625,,0.760,,,0.324,0.411
03-20,0.520,1.294,0.644,0.327,,,0.566,0.536,0.762,0.284,,,0.089,,1.062,0.878,,0.226,0.723,0.314
03-21,0.562,0.322,1.089,0.442,0.291,0.328,0.645,0.825,0.744,,,,0.082,0.364,0.415,0.455,,0.186,0.714,0.665
03-22,,0.445,0.733,0.797,0.440,0.486,1.248,0.512,0.514,0.252,,,0.130,0.062,0.366,0.545,,0.180,0.491,0.295
03-23,0.679,0.502,0.546,0.853,0.520,0.394,0.771,0.443,0.605,0.231,,,0.266,0.067,0.294,0.616,,0.189,0.286,0.239
03-24,0.951,0.645,0.854,0.537,0.408,0.210,1.019,0.536,0.717,0.450,,,0.557,0.361,0.349,0.246,,0.447,0.119,0.255
03-25,1.029,0.743,0.662,0.371,0.611,,,0.613,0.557,0.502,,,0.360,0.603,0.567,0.239,,0.337,0.200,0.183
03-26,0.828,0.874,0.603,0.647,0.400,0.294,0.567,0.580,0.689,0.482,,,0.563,0.910,0.483,0.181,0.120,0.523,0.523,0.093
03-27,0.647,0.484,0.578,0.475,,,0.766,1.071,0.763,0.216,,,0.567,0.678,0.269,,0.047,0.289,0.635,0.182
03-28,1.075,0.240,0.108,,0.369,,0.572,1.281,0.600,,,,0.568,,0.287,0.352,0.270,0.338,0.308,0.227
03-29,0.917,0.155,0.211,0.319,0.835,0.319,0.789,0.740,0.875,0.285,,,0.916,0.471,0.510,0.296,0.229,0.197,0.493,0.322
03-30,1.024,0.294,0.476,,,0.240,0.641,0.629,0.724,0.106,,,0.418,0.365,0.781,0.214,,0.146,0.897,0.891
03-31,0.725,0.676,0.547,,,0.859,,0.883,0.799,0.372,,,,0.290,0.503,0.406,0.360,0.330,0.471,0.954
04-01,0.370,0.917,0.716,0.739,1.112,0.790,0.665,0.531,0.808,0.174,,,,0.269,0.961,0.610,0.155,0.167,0.245,0.590
04-02,,0.512,0.890,,0.247,0.973,0.462,0.464,0.460,0.208,,,0.228,0.545,0.569,0.673,0.121,0.197,0.558,0.681
04-03,,0.867,0.598,0.778,0.374,0.617,0.215,0.365,0.552,0.179,,,0.166,0.244,0.972,0.675,0.354,0.241,0.812,0.509
04-04,1.569,0.632,0.950,0.262,0.151,0.986,0.325,,0.661,0.150,,,0.364,,0.596,0.207,0.764,0.289,0.890,0.672
04-05,,0.573,0.719,0.556,,1.096,0.460,,0.864,0.625,,,,1.083,0.476,0.499,0.578,0.682,0.819,0.761
04-06,,0.260,0.667,0.386,0.172,1.445,0.806,,0.406,0.838,,,0.157,0.535,0.259,0.520,1.141,1.353,0.880,0.673
04-07,0.995,0.658,0.371,0.435,,1.794,0.798,,0.927,1.030,,,0.292,0.530,0.209,0.322,0.659,0.719,0.676,0.456
04-08,,0.616,0.277,0.983,,1.052,0.613,0.279,0.803,,,,0.429,0.503,1.104,0.563,0.907,0.904,0.581,0.860
04-09,0.449,0.479,0.385,,,1.613,0.748,,0.896,,,,0.786,0.225,0.350,0.669,0.909,,0.709,0.457
04-10,0.610,0.413,0.976,0.881,,0.596,,0.193,1.114,,,,,0.279,0.413,0.577,0.808,0.809,0.988,0.357
04-11,1.173,1.071,0.814,0.396,0.075,0.507,0.543,0.265,0.662,0.564,,,0.739,0.328,0.524,1.578,0.578,0.838,1.244,0.454
04-12,1.208,0.823,0.637,0.629,,1.215,0.527,0.253,1.217,0.410,,,0.663,0.278,0.567,0.852,0.682,0.343,0.572,0.286
04-13,1.312,0.664,0.476,0.469,0.182,0.984,0.431,0.212,,0.419,,,0.711,0.084,0.566,,0.636,,0.389,0.560
04-14,0.612,0.835,0.554,0.520,0.874,,0.267,0.697,0.901,0.437,,,0.576,0.233,0.684,0.527,0.504,,0.293,1.125
04-15,0.571,0.301,0.874,0.568,1.039,2.114,0.218,0.971,1.288,0.318,,,0.653,0.475,1.381,0.506,0.320,0.429,0.505,1.094
04-16,,0.424,1.026,0.575,0.897,1.777,0.541,0.442,0.687,0.288,,,0.600,,0.675,0.489,0.544,0.412,0.598,0.798
04-17,,0.525,0.577,0.519,0.253,1.041,0.667,,1.019,0.559,,,0.720,,,0.657,0.503,0.702,0.798,0.944
04-18,,0.696,0.573,0.590,0.214,0.798,0.453,,0.760,1.170,,,1.099,0.846,0.587,0.525,0.680,0.956,0.606,0.225
04-19,,0.745,0.761,0.823,,1.338,0.976,0.666,1.116,1.000,,,0.751,1.486,0.322,0.307,0.943,0.606,0.318,0.801
04-20,,0.830,0.854,0.758,0.335,0.909,,0.857,0.714,1.025,,,0.999,0.898,0.360,0.454,,0.406,0.477,0.415
04-21,,0.880,0.776,0.650,0.757,1.187,,0.477,0.760,0.410,,,0.497,0.937,0.304,0.549,0.855,0.614,0.521,0.389
04-22,,1.070,0.944,1.209,,0.957,0.923,0.391,0.731,0.433,,,0.218,1.409,0.275,0.846,,0.395,0.588,0.852
04-23,,0.748,1.304,1.022,0.916,1.855,0.860,0.480,0.586,0.367,,,0.240,1.196,0.569,0.559,,0.588,,0.891
04-24,,1.873,0.572,0.603,1.144,0.708,0.399,0.523,0.564,0.836,,,0.208,1.298,0.336,0.258,,0.606,,0.670
04-25,,0.867,0.664,0.721,0.468,0.469,0.508,0.689,0.794,0.675,,,0.207,0.753,0.479,0.507,,0.634,0.781,0.410
04-26,,1.180,0.683,0.868,0.556,0.286,0.563,0.722,0.943,0.763,,,0.156,1.514,0.651,0.451,0.386,0.297,1.118,1.000
04-27,2.022,,0.906,0.749,0.783,1.108,0.912,,1.254,0.756,,,0.263,0.756,0.377,0.317,0.125,0.709,0.702,1.039
04-28,1.725,1.101,0.400,0.930,0.473,,0.589,1.239,,0.406,,,,0.791,0.243,0.753,0.381,0.304,0.898,1.306
04-29,1.308,1.572,0.477,1.081,0.685,1.082,0.979,1.826,0.885,0.377,,,0.850,1.003,0.648,,,,1.119,
04-30,0.788,,,0.556,0.530,0.890,0.946,1.253,0.671,0.389,,,0.885,,1.229,0.468,,0.262,0.842,0.824
05-01,1.236,0.909,0.768,1.126,0.850,1.014,0.536,1.005,0.750,0.259,,,0.609,0.374,0.410,0.517,0.575,0.820,0.404,0.367
05-02,3.072,1.967,0.899,0.816,,1.201,0.581,0.626,0.820,0.501,,,,1.134,0.262,0.922,0.563,1.010,,0.385
05-03,1.994,,0.810,0.825,1.101,0.465,1.035,0.563,1.790,0.695,,,0.822,1.399,0.715,0.822,1.547,1.182,0.715,0.627
05-04,,1.307,0.468,0.727,,0.816,0.953,0.554,0.939,0.727,,,0.976,1.384,0.481,1.065,1.654,1.492,0.834,0.682
05-05,,,0.713,0.546,,1.911,1.125,0.579,1.298,0.581,,,1.090,0.582,0.266,0.934,0.876,,,0.848
05-06,2.128,0.525,0.831,1.026,1.162,2.274,0.876,0.732,1.034,0.428,,,0.860,1.329,0.691,0.632,0.490,0.641,,0.427
05-07,,1.328,0.923,0.783,0.827,1.968,0.764,0.807,1.174,0.381,,,0.960,1.262,,0.439,0.178,0.979,,
05-08,,0.552,1.093,0.995,0.835,1.747,1.461,,1.239,0.334,,,1.298,1.027,,0.188,0.418,1.048,,
05-09,1.012,,0.516,0.969,1.251,1.136,1.132,2.248,1.593,0.437,,,1.816,2.290,0.862,0.629,0.666,,,
05-10,1.159,0.738,0.653,1.320,0.786,1.134,1.006,0.855,,0.717,,,1.433,1.628,0.920,0.392,0.587,1.304,0.378,
05-11,1.029,0.871,0.629,0.831,0.690,1.791,0.707,1.074,0.784,1.610,,,0.897,2.191,0.426,,0.860,0.679,0.644,
05-12,,,0.856,0.929,0.768,1.535,1.292,1.234,0.656,1.222,,,1.398,1.787,0.610,0.528,0.756,,0.930,
05-13,,,1.198,0.803,0.910,1.790,0.545,,0.790,1.602,,,,1.842,0.374,1.428,0.468,,0.796,
05-14,0.510,1.402,0.896,0.774,0.490,2.283,0.424,,0.481,0.440,,,0.373,1.192,0.617,0.499,1.034,,0.694,1.249
05-15,0.281,0.717,,0.994,0.258,2.050,0.477,,0.524,0.537,,,0.459,0.812,0.577,0.450,,0.755,0.401,1.395
05-16,0.488,0.621,2.006,0.499,0.334,0.968,0.868,0.772,0.946,0.621,,,0.699,0.662,0.563,0.453,,1.552,,1.506
05-17,0.642,0.373,0.692,0.792,1.267,1.416,0.676,1.158,0.848,0.348,,,,0.697,0.583,0.592,0.686,1.145,,
05-18,1.438,0.554,1.849,0.240,0.851,1.242,0.752,1.103,1.235,,,,0.581,0.606,,0.463,0.580,1.369,,0.745
05-19,0.936,0.677,0.634,0.483,,0.877,1.342,1.444,1.216,,,,0.480,0.795,0.608,0.578,0.654,0.808,0.459,0.545
05-20,1.085,0.549,1.024,0.471,0.550,0.762,0.855,1.170,,0.645,,,0.332,0.690,0.452,0.923,1.491,0.835,0.564,0.687
05-21,0.756,0.995,0.668,0.596,0.512,0.673,0.404,1.100,0.557,,,,0.375,1.033,0.736,0.482,1.488,1.085,,0.681
05-22,0.819,1.184,0.494,0.523,0.475,0.401,0.501,0.886,0.409,,,,,0.992,0.989,,0.792,0.835,0.654,0.541
05-23,1.403,,0.566,0.723,0.484,0.920,0.486,1.524,0.334,0.670,,,,0.627,1.373,0.473,0.857,0.952,,0.794
05-24,2.643,1.498,,1.494,1.783,0.781,0.612,1.085,0.832,0.455,,,0.403,0.684,0.824,0.645,0.789,1.218,,1.050
05-25,0.812,0.468,0.614,0.855,0.386,,0.954,0.991,0.681,,,,0.660,1.076,,0.458,0.502,,,1.034
05-26,0.598,0.286,0.794,0.509,0.452,,0.980,0.743,1.697,0.449,,,0.595,1.568,1.204,0.459,1.096,0.652,,
05-27,0.541,,0.720,1.028,0.744,,,0.585,0.803,0.336,,,0.788,0.630,1.360,0.658,,0.831,,0.556
05-28,1.599,0.505,0.511,,0.763,,,0.787,0.298,,,,0.437,0.580,,0.742,0.632,0.649,0.219,0.602
05-29,1.013,0.646,,1.091,,,,1.117,0.312,0.639,,,0.268,0.385,,,0.787,0.781,0.210,0.920
05-30,,1.338,0.609,1.287,,,,1.274,0.615,1.053,,,,0.806,1.449,,0.678,0.703,0.487,0.743
05-31,1.333,1.774,0.473,0.613,0.793,,,0.490,0.444,0.576,,,0.262,0.298,,,0.651,,0.168,0.742
06-01,0.991,1.083,0.728,0.577,,,,0.323,,0.785,,,0.545,0.478,0.180,,0.900,,0.356,0.241
06-02,1.232,1.139,0.542,0.469,,,,0.428,0.256,0.646,,,0.473,0.197,0.269,0.862,,0.449,0.356,
06-03,0.335,0.662,1.009,,0.792,,,0.419,0.212,0.644,,,0.392,0.283,0.506,,1.031,0.621,0.194,
06-04,0.386,1.394,1.056,,,,,0.540,0.445,0.525,,,0.586,0.302,0.646,0.537,0.836,0.669,0.160,
06-05,,1.222,1.398,,0.289,,,1.023,0.660,0.303,,,0.527,0.277,,,0.506,0.785,0.444,0.414
