Date,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
01-01,86.0,58.44,26.0,93.4,124.6,117.133,85.067,72.04,132.44,66.96,16.88,58.52,61.8,57.172,93.432,96.333,120.4,45.8,57.529,75.897
01-02,61.867,75.2,24.389,73.067,83.6,61.233,72.714,68.278,68.312,43.455,45.042,49.92,21.76,40.556,64.022,36.5,47.743,46.394,53.543,94.486
01-03,50.867,37.821,33.85,83.84,81.08,63.042,55.179,59.357,58.444,86.28,36.52,50.545,36.56,63.52,42.3,23.792,45.829,61.583,54.258,77.447
01-04,51.2,68.32,34.44,74.56,21.0,58.52,70.44,20.455,101.2,75.636,18.4,80.364,81.16,113.625,46.814,48.765,104.103,56.718,83.343,68.711
01-05,75.133,48.8,26.292,42.92,45.609,103.207,58.32,74.05,78.12,59.652,45.043,83.96,71.4,98.741,57.067,38.486,30.371,71.968,58.514,83.5
01-06,61.333,40.4,55.36,71.036,44.478,77.038,37.52,32.947,65.522,44.15,55.136,81.478,43.64,60.7,59.976,52.829,25.333,76.725,53.647,58.5
01-07,60.533,56.92,74.0,36.667,47.84,81.679,56.2,66.0,45.409,63.08,72.478,52.68,67.32,131.8,84.778,26.269,30.4,89.395,50.312,78.029
01-08,82.667,64.04,72.6,66.333,46.571,70.067,63.04,40.167,56.5,98.435,18.579,90.0,40.08,43.5,82.422,29.68,35.029,77.45,59.618,67.692
01-09,87.933,77.333,79.967,91.536,44.833,27.6,85.0,68.1,65.591,83.6,21.12,30.417,35.455,45.333,55.511,80.581,55.971,81.825,57.56,63.256
01-10,77.533,14.765,77.621,81.667,34.2,42.25,66.304,68.818,66.32,96.96,45.92,66.87,52.304,56.63,47.977,56.233,28.267,67.103,77.966,56.65
01-11,97.667,50.4,75.464,66.833,70.4,70.967,78.04,67.727,79.68,57.2,81.0,88.824,39.588,70.138,46.889,42.696,56.741,63.025,89.367,61.5
01-12,59.333,72.633,51.633,61.467,73.76,60.207,86.76,32.444,48.44,68.92,78.68,43.0,53.273,76.654,50.093,63.733,59.548,60.925,50.643,56.35
01-13,99.8,82.2,18.433,15.467,80.538,53.0,79.92,51.417,73.64,68.25,68.16,88.045,72.2,48.929,68.325,81.606,14.067,52.462,56.138,23.974
01-14,41.533,56.367,34.846,80.643,99.393,117.808,43.08,46.875,54.36,100.762,16.158,82.16,89.52,40.556,65.933,79.943,13.4,84.075,51.759,43.375
01-15,42.133,64.714,77.043,76.867,24.091,100.9,83.72,73.28,69.56,65.474,20.722,66.64,50.083,87.115,45.143,72.107,23.2,54.5,79.233,65.703
01-16,20.6,64.433,90.538,60.31,27.056,55.033,70.739,57.957,35.941,26.92,25.591,28.4,48.652,90.8,84.429,71.086,47.069,60.037,82.229,63.361
01-17,23.933,69.655,87.733,59.467,24.722,73.667,55.24,28.812,65.591,50.24,12.1,56.333,56.833,68.28,51.318,73.2,68.69,59.767,71.677,71.026
01-18,71.8,72.933,60.25,56.167,12.7,95.087,60.5,40.7,33.12,36.435,13.143,76.28,52.524,100.862,66.955,50.457,63.3,85.0,83.812,54.167
01-19,97.2,33.2,79.2,48.556,62.607,45.481,94.2,73.125,38.87,50.4,34.348,72.864,67.333,93.235,61.326,83.486,72.407,52.68,79.931,47.227
01-20,72.267,80.467,49.16,54.7,41.08,97.733,87.87,42.28,72.84,62.182,27.875,65.0,73.68,57.229,89.889,83.848,76.125,53.719,56.2,41.116
01-21,74.6,59.833,57.522,53.346,50.033,108.633,87.64,55.0,56.957,63.727,23.304,96.12,79.48,53.516,77.477,72.324,51.471,38.867,43.833,62.349
01-22,69.4,67.333,51.6,69.923,52.583,102.267,58.087,61.458,55.294,65.762,65.667,69.8,77.68,65.314,90.533,71.192,60.353,28.714,61.862,64.462
01-23,73.933,61.4,66.0,49.857,91.633,20.133,44.087,49.92,74.81,67.889,65.833,35.32,84.818,75.471,100.318,61.529,57.667,59.306,91.367,42.366
01-24,63.867,81.714,69.933,59.3,40.267,53.345,45.667,88.421,63.28,51.28,46.76,60.217,78.2,50.077,61.667,59.088,75.975,55.781,57.9,60.216
01-25,99.133,117.828,72.933,65.033,28.185,53.517,44.75,46.48,69.2,39.92,60.368,52.04,43.312,70.9,64.114,68.971,95.355,71.286,43.25,59.114
01-26,104.333,95.0,74.414,63.367,43.042,65.034,47.783,57.762,50.64,62.16,59.0,68.478,70.44,81.0,53.667,47.875,58.026,100.1,76.24,41.444
01-27,64.2,94.233,55.367,35.375,82.231,78.333,53.095,19.652,77.16,65.8,45.52,54.84,81.04,69.967,71.442,64.2,43.775,86.714,45.179,21.0
01-28,91.933,58.2,72.483,90.433,70.966,66.75,78.68,41.2,59.667,69.32,39.0,99.0,59.591,71.87,72.027,44.686,69.914,87.595,17.724,48.902
01-29,88.667,57.767,58.741,58.667,36.696,64.233,49.65,65.619,72.0,74.727,30.182,72.08,36.636,51.6,78.864,45.733,139.838,80.475,19.64,63.282
01-30,54.6,49.708,73.808,58.08,26.792,55.069,59.45,27.381,90.524,88.65,29.083,57.0,62.842,63.8,53.023,67.029,82.725,80.743,36.7,40.098
01-31,58.667,58.276,64.1,75.04,19.789,63.25,66.45,29.417,41.36,77.875,32.042,60.68,87.045,100.0,78.487,81.676,35.65,91.625,79.474,50.256
02-01,55.267,85.172,51.48,48.037,35.103,72.52,41.167,43.85,65.4,31.87,28.591,32.444,66.0,85.564,81.25,42.4,63.143,77.571,46.68,61.068
02-02,41.0,70.8,91.233,68.44,50.714,59.367,58.667,21.696,60.2,49.4,50.647,53.783,79.158,82.118,62.35,50.567,38.314,63.286,40.767,65.933
02-03,55.333,92.967,60.367,62.4,103.786,60.571,66.92,78.8,45.3,76.105,15.727,117.0,56.13,65.2,71.775,35.625,57.233,72.425,73.067,60.976
02-04,104.6,36.7,47.786,78.179,59.138,108.769,63.08,11.167,38.857,59.2,15.889,44.5,57.56,56.353,49.703,40.682,129.971,64.175,39.1,55.178
02-05,75.067,17.385,43.267,60.633,23.793,83.867,52.7,20.136,34.5,53.381,28.174,34.44,57.45,59.657,66.25,47.208,80.867,45.4,39.633,65.081
02-06,68.4,55.391,57.724,64.792,27.043,52.367,59.24,43.9,64.286,93.84,63.905,48.095,44.333,60.235,82.7,80.828,113.029,44.919,56.759,82.625
02-07,62.933,66.0,59.9,78.1,128.867,68.567,70.68,42.556,55.84,71.32,30.143,42.0,62.2,81.242,79.225,54.296,45.943,67.517,61.034,73.538
02-08,51.4,117.448,70.207,62.0,50.214,62.0,78.84,49.375,54.957,71.56,53.04,57.381,34.235,75.286,62.459,58.233,65.114,64.286,31.708,54.231
02-09,74.467,90.1,47.233,43.467,60.5,68.464,76.333,53.28,45.32,104.095,69.28,56.15,46.522,71.758,35.436,55.069,58.286,70.867,48.179,58.6
02-10,70.733,48.5,65.167,50.467,75.6,68.357,47.727,37.053,37.96,71.947,23.316,104.45,31.72,59.697,60.15,63.735,64.286,80.345,43.206,46.651
02-11,60.545,72.9,81.9,77.893,74.5,77.414,74.087,39.091,71.609,72.905,32.609,69.35,71.72,64.29,62.65,77.833,73.382,61.794,22.844,58.205
02-12,92.933,55.033,53.862,74.9,82.0,75.167,80.72,24.842,30.053,110.81,23.357,125.05,36.174,69.517,55.923,29.912,55.941,63.658,57.733,76.405
02-13,76.933,81.407,21.667,82.067,52.929,49.0,54.053,44.2,43.64,83.25,24.3,88.9,18.714,77.1,64.436,65.6,53.237,78.55,98.914,88.561
02-14,59.6,72.967,96.367,79.067,40.308,54.429,74.958,55.611,41.042,84.3,13.0,60.0,29.208,67.972,78.0,92.675,90.45,60.548,57.925,51.632
02-15,71.733,58.6,65.931,33.4,17.667,57.7,82.083,36.739,49.591,62.55,51.722,69.632,25.52,66.583,36.718,64.079,80.486,71.686,55.765,48.136
02-16,88.667,78.13,42.1,51.7,53.967,61.267,84.125,85.682,54.227,58.05,48.429,82.85,26.929,54.128,38.528,48.975,97.242,89.606,70.179,53.773
02-17,95.333,107.0,55.567,84.533,61.607,98.1,82.333,45.4,31.609,85.385,17.48,92.438,33.789,70.513,58.583,37.594,57.844,60.833,60.73,40.8
02-18,112.733,88.607,60.6,57.571,49.517,75.367,62.25,40.4,51.36,73.28,13.5,56.0,26.882,62.231,76.676,64.114,76.462,60.684,56.342,70.41
02-19,104.8,58.96,74.333,73.276,84.767,85.8,39.24,59.72,82.571,70.28,9.714,76.8,40.591,70.5,64.605,57.905,103.35,30.667,47.971,39.086
02-20,17.867,65.92,62.133,79.56,40.222,72.733,56.36,64.333,56.32,37.0,11.619,53.25,53.864,52.027,88.432,61.205,96.275,29.222,47.686,34.816
02-21,75.8,65.621,57.069,57.462,44.077,51.962,59.8,48.136,70.348,41.88,27.2,72.833,48.5,72.405,85.375,61.256,75.59,65.95,69.143,29.655
02-22,55.533,67.467,41.857,55.767,41.967,70.893,67.368,67.56,59.96,11.818,27.571,81.588,60.885,65.543,74.8,42.225,77.975,49.714,69.577,39.286
02-23,70.533,81.5,41.667,29.833,74.786,69.276,77.267,59.158,62.652,37.318,22.652,76.5,54.6,62.7,72.725,47.237,53.286,52.657,77.25,43.5
02-24,70.8,62.267,62.967,34.5,66.31,59.962,91.966,56.04,42.217,38.9,91.579,84.667,59.476,60.105,61.9,71.822,111.4,50.629,77.457,36.651
02-25,96.0,71.333,57.367,58.833,34.409,78.5,66.333,53.4,37.48,61.136,54.261,103.647,91.04,82.188,83.919,58.167,104.194,75.4,39.229,60.5
02-26,64.933,77.367,43.357,38.586,80.143,62.385,61.0,41.333,54.783,53.696,42.708,67.6,74.56,76.469,68.625,50.323,98.0,39.086,43.833,41.976
02-27,44.533,64.034,63.733,37.115,79.034,37.81,78.36,38.565,86.6,66.955,65.4,59.85,42.72,38.353,63.273,61.686,70.581,66.3,67.975,41.439
02-28,56.667,70.633,33.467,58.25,45.5,22.636,70.4,73.125,76.682,75.12,41.32,72.85,65.84,77.857,53.8,45.372,38.171,56.486,63.472,48.733
03-01,69.867,81.667,39.867,42.867,45.185,46.828,61.96,50.08,59.0,35.64,24.52,75.15,66.261,145.528,66.4,59.2,65.258,75.6,72.821,56.537
03-02,71.2,37.633,23.5,59.4,77.207,44.033,40.16,65.4,70.52,47.125,47.435,71.4,63.174,47.875,42.686,59.75,55.559,53.514,87.0,49.357
03-03,88.133,18.867,36.069,34.207,70.708,58.3,52.565,48.565,46.381,52.263,62.773,69.55,86.88,30.914,65.917,76.4,30.5,46.933,69.175,43.818
03-04,72.267,30.0,107.414,50.36,64.955,79.143,68.379,39.68,32.632,47.217,41.261,73.8,78.52,63.103,60.889,80.378,55.314,69.267,44.767,66.175
03-05,89.067,41.067,65.433,90.583,33.25,45.467,59.655,99.714,60.056,71.65,55.409,77.5,42.44,74.45,51.0,81.318,40.188,54.133,54.767,55.5
