,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
08-24,269.08500000000004,275.0,265.91,,274.72,,282.85,,277.65,274.485,,277.94,282.33,287.16,255.64
08-25,268.53,276.63,266.98,270.32,264.66,269.32,275.66,272.51,275.79,292.75,275.76,277.87,265.88,,272.0
08-26,274.66,273.39,264.43,271.7,265.47,273.7,267.18,280.85,263.62,274.85,,285.7,263.72,284.51,275.19
08-27,270.16,273.475,259.78,275.21,266.9,268.91,279.05,271.06,,267.89,281.49,271.99,267.78,279.44,277.03
08-28,265.67,276.08,263.55,269.19,266.45,274.73,275.7,279.68,268.6,271.06,,288.73,264.62,274.93,
08-29,267.48,272.75,292.09,269.18,257.7,260.57,,280.49,285.44,272.89,283.7,272.33,,276.43,268.53
08-30,266.21,270.89,265.995,269.72,260.72,,261.05,271.84,270.24,,277.7,277.31,270.42,281.23,277.07
08-31,272.185,266.97,269.56,278.23,260.54,263.8,,272.34,284.22,275.25,288.62,273.09,257.03,278.07,272.94
09-01,,271.37,259.01,267.46,,260.57,258.96,266.83,277.13,269.93,,268.79,258.51,,274.55
09-02,268.35,283.54,251.36,269.53,268.09000000000003,273.75,265.93,278.65,267.8,268.51,,277.43,,276.11,276.29
09-03,262.14,274.055,266.37,266.52,264.34,271.72,266.06,272.96,277.8,264.96,273.345,266.4,257.82,289.38,268.72
09-04,265.89,289.85,273.23,276.24,262.33,,261.71,,266.59,270.3,277.77,,263.11,271.86,
09-05,265.05,272.55,282.44,278.57,260.83,256.53499999999997,,272.33,,276.42,274.59,265.32,265.21,280.74,261.33
09-06,267.07,272.55,266.9,260.54,265.31,259.45,270.02,272.74,262.725,279.69,271.19,268.51,255.0,275.54,268.03
09-07,274.62,273.64,,256.4,264.43,264.83,,270.94,268.78,277.85,269.26,264.41,,274.91,262.21
09-08,270.18,277.13,267.46,260.6,275.54,272.3,259.30999999999995,281.96,265.11,,279.11,261.53,261.42,280.54,
09-09,266.975,271.18,269.0,258.1,256.97,,271.05,,263.73,268.465,282.13,275.85,260.21,282.25,260.57
09-10,271.0,267.68,275.25,264.63,273.42,277.82,268.75,273.555,270.32,,272.16,282.62,263.07,,268.7
09-11,268.85,271.02,274.91,266.33,261.32000000000005,273.34,268.62,300.63,270.19,272.81,,279.61,259.45,268.645,272.97
09-12,272.88,271.71000000000004,272.52,267.04,,260.1,279.57,268.61,,265.6,271.63,267.36,265.21,263.43,274.82
09-13,273.99,270.59,269.82,254.78,257.19,,261.96,277.9,258.83000000000004,263.12,278.42,278.4,259.49,265.91,
09-14,266.11,260.74,267.54,261.55,259.49,265.05,,272.27,255.87,266.23,268.3,274.55,,267.79,266.245
09-15,267.32,263.09,262.14,266.61,270.57,264.29,265.51,270.55,259.86,,269.48,,263.0,273.51,260.35
09-16,266.64,269.93,265.91,272.44,257.48,,,273.44,253.2,258.675,263.67,262.57,263.31,265.86,267.31
09-17,264.92,269.47,267.99,,,247.32,268.55,266.94,262.18,254.41,265.15,255.32,257.12,,264.02
09-18,261.95,268.85,275.61,263.71,260.0,255.39,,,264.57,263.6,,265.27,257.04,266.72,258.67
09-19,269.29,261.8,271.68,271.59,260.66,251.57,274.82,264.685,264.99,263.09,266.25,258.89,262.6,272.9,261.98
09-20,269.77,,268.66,265.53,261.65,,269.08,266.55,266.3,269.94,285.19,,252.9,267.56,
09-21,266.04,259.33,273.71,262.81,267.35,271.29,,261.19,,264.33,272.84,260.125,264.76,,255.17
09-22,267.48,268.31,269.36,261.62,261.81,266.24,260.03,265.79,265.555,,270.24,273.44,262.25,256.66,259.7
09-23,266.1,272.77,259.0,260.46,254.94,,,259.1,,258.9,262.47,255.62,,269.67,253.04
09-24,269.04,268.05,267.46,255.81,,269.28,261.40999999999997,251.8,270.57,269.75,259.15,264.37,260.975,269.07,259.87
09-25,260.65999999999997,265.59,258.49,,257.23,,264.55,,257.62,270.97,268.03,269.59,252.54,264.78,253.66
09-26,253.91,267.75,265.76,263.36,254.5,247.63,264.25,257.27,254.37,264.66,258.51,258.7,261.39,,265.97
09-27,253.42,268.83,250.05,,263.03499999999997,,265.45,262.49,262.48,270.07,,267.01,256.33,262.52,264.46
09-28,259.84,266.105,257.55,,262.02,255.11,262.23,259.36,,270.91,262.77,255.35,252.71,266.77,260.19
09-29,260.2,266.13,257.88,,258.18,,264.45,263.92,267.57,,,256.85,246.4,267.9,
09-30,261.07,261.95,260.95,261.32,255.05,260.65999999999997,,260.22,273.14,270.1,258.33,255.56,,263.35,258.53
10-01,258.88,266.91,258.66999999999996,261.365,,,258.13,259.58,277.43,,268.19,257.63,257.02,264.53,264.15
10-02,256.65500000000003,265.92,255.19,262.31,260.12,263.57,,,282.67,268.845,254.44,254.33,259.63,262.99,260.56
10-03,,259.03,263.35,263.67,,257.1,258.805,259.57,267.19,268.47,261.88,260.46,265.275,,266.89
10-04,254.57,260.65,267.89,257.9,253.87,,266.85,,272.72,259.77,,266.03,,262.95,263.78
10-05,250.84,263.065,265.29,263.25,249.43,265.46,262.0,257.64,274.84,259.17,253.915,261.97,255.96,264.75,258.76
10-06,253.29,272.46,267.95,260.77,252.51,,256.73,,266.36,264.86,260.58,,266.69,260.56,
10-07,253.78,266.1,265.13,248.11,247.91,266.315,,257.07,271.09,263.96,265.48,256.535,265.59,267.27,258.51
10-08,257.01,260.09,266.955,252.88,250.17,270.31,263.73,253.17,260.25,,268.03,252.22,256.02,267.48,264.86
10-09,253.94,255.01,,254.85,245.33,261.88,,250.62,263.74,269.66,268.7,245.28,,259.15,252.37
10-10,254.37,252.89,254.77,249.09,,266.43,250.245,242.88,253.6,,262.94,255.95,264.205,254.76,
10-11,253.72500000000002,254.91,244.76,244.67,249.21,,239.49,,256.85,266.40999999999997,,258.26,266.54,253.37,256.69
10-12,258.15,248.76,252.43,244.93,248.32,255.73,252.72,246.47500000000002,252.05,,260.03,256.43,264.33,,257.07
10-13,266.72,253.51,254.28,250.17,248.965,255.08,245.69,250.47,259.74,259.56,,264.94,263.68,257.35,261.72
10-14,255.94,247.9,248.5,256.41,,257.79,254.62,246.62,,272.09,257.32500000000005,253.87,273.44,255.7,256.19
10-15,256.77,241.77,252.62,260.45,,,256.75,253.45,258.37,,254.54,265.81,264.57,254.1,
10-16,254.7,247.77,256.23,256.03,258.11,260.82,,250.52,260.14,255.8,255.91,256.395,,241.3,253.855
10-17,252.35,242.06,254.755,249.75,,262.85,254.51,247.62,262.38,,251.7,,259.24,242.68,262.3
10-18,254.615,249.0,254.51,250.46,244.15,258.18,,,257.81,253.73,,253.73,,232.93,250.96
10-19,249.77,251.37,252.92,,,252.68,256.06,236.72,257.14,254.98,255.6,263.74,260.385,,253.2
10-20,244.58,257.51,253.14,259.62,245.64,,,,251.68,253.83,,266.14,260.8,235.66,252.35
10-21,243.61,257.24,253.5,257.26,242.78,255.56,248.63,244.70999999999998,,251.86,250.925,253.92,260.6,238.28,250.71
10-22,246.69,,247.33,256.0,247.43,,256.41,248.96,252.88,254.97,243.17,,256.74,238.96,
10-23,250.66,,251.29,252.97,252.76,256.97,263.23,249.03,,251.53,243.85,241.535,,,255.88
10-24,249.84,267.26,248.745,251.57,,257.49,264.93,249.72,254.49,,243.84,248.9,257.11,242.59,263.47
10-25,253.29,261.0,253.95,250.4,244.21,253.43,,245.67,,252.42,247.3,248.86,,246.99,259.38
10-26,253.63,266.1,258.38,,,254.57,259.825,247.19,248.33,,242.76,256.95,260.945,,250.73
10-27,250.075,252.83,257.2,,236.56,,262.5,,239.89,265.07000000000005,,269.49,266.62,241.85,249.46
10-28,250.34,249.82,265.48,243.95,236.28,250.56,,249.27499999999998,241.66,265.13,246.12,261.41,262.68,,251.88
10-29,244.06,246.67,262.32,247.45,242.52,,260.72,242.02,245.89,257.87,,270.51,253.82,242.615,
10-30,239.59,,253.74,243.87,236.62,248.91,254.87,259.05,,248.57,251.245,255.62,257.09,241.11,248.29
10-31,244.51,238.25,250.42,247.46,,,253.79,253.54,249.64,,,253.58,248.3,241.91,
11-01,244.71,,246.46,249.17,255.62,252.09,,249.79,252.44,255.76,249.77,246.245,,235.2,248.53
11-02,242.75,236.06,248.62,255.16,,,255.57,237.63,242.07,,243.11,247.17,256.41,233.54,255.72
11-03,240.58,239.62,252.49,251.54,258.1,,,,237.45,243.2,,243.71,,233.53,253.03
11-04,,239.64,247.69,,,254.33,253.67,233.46,248.0,237.46,243.63,241.62,252.93,,251.78
11-05,245.68,243.69,244.74,250.61,260.305,,253.35,,243.23,246.24,,245.8,,237.23,244.23
11-06,247.33,242.635,244.86,249.25,264.8,257.87,262.11,234.81,,247.18,246.135,238.06,253.05,238.2,247.96
11-07,248.9,246.33,234.69,244.42,254.8,,251.61,,246.46,249.68,242.35,,250.52,238.78,
11-08,237.06,244.71,246.93,243.11,254.3,254.015,261.59,235.05,,248.24,244.78,245.745,,238.31,247.2
11-09,240.03,228.91,248.01,241.77,,250.53,257.39,238.0,254.65,,249.55,240.77,252.09,237.28,239.44
11-10,246.42,232.66,,240.19,247.01,243.49,,238.44,253.76,254.7,255.66,241.41,,241.07,242.805
11-11,243.96,229.12,249.61,244.425,,236.47,252.9,243.73,249.48,,254.63,233.96,239.49,,
11-12,245.82999999999998,230.44,250.51,235.02,245.57,,248.96,,245.18,253.44,,237.44,242.62,233.48,229.3
11-13,241.28,232.49,244.16,241.34,250.31,235.83,251.25,238.055,251.79,,245.51,236.11,244.83,,229.69
11-14,241.86,241.8,243.78,240.88,252.875,,249.53,243.73,248.16,255.11,,267.59,244.36,237.76999999999998,
11-15,244.4,252.495,244.15,242.38,,242.73,247.16,240.56,,250.87,242.18,242.07,253.23,248.74,232.03
11-16,242.05,248.04,247.91,242.84,252.9,,246.64,240.83,254.425,,239.74,259.47,255.92,244.17,
11-17,241.34,255.88,247.95,241.4,242.99,251.41,,241.8,256.07,252.63,236.38,244.63,,243.64,238.63
11-18,238.28,246.38,248.325,241.905,,248.12,245.23,242.8,246.43,,234.89,,252.12,236.99,248.62
11-19,240.005,236.67,241.9,235.0,242.37,253.92,,240.51,248.14,249.60500000000002,,248.87,,241.78,246.08
11-20,236.92,245.99,243.96,243.51,,256.86,252.495,243.47,255.29,244.22,253.68,245.05,249.775,,238.88
11-21,239.81,242.57,245.04,245.49,244.04500000000002,,,,246.5,246.48,,,252.39,238.4,241.23
11-22,244.16,248.06,242.8,242.79,242.03,257.03,243.66,245.665,,237.43,253.39999999999998,245.61,265.9,239.66,243.7
11-23,244.39,,246.72,245.69,241.61,,238.46,239.72,241.6,242.78,254.54,,266.07,241.555,
11-24,246.72,244.4,246.55,242.51,237.69,253.155,245.08,239.24,,230.14,255.33,249.055,,,245.25
11-25,237.36,238.21,240.92000000000002,246.84,246.07,253.71,249.63,231.57,242.16,,246.71,246.53,256.9,234.41,245.56
11-26,235.65,244.88,241.13,243.91,245.75,249.16,,233.53,,240.23,250.48,240.74,,237.42,247.67000000000002
11-27,229.83,245.45,241.97,249.36,,239.73,240.505,241.98,248.65,,247.83,240.8,251.065,,243.38
11-28,236.14499999999998,241.97,240.66,,243.4,,240.59,,245.37,240.89499999999998,,240.68,246.05,226.43,236.0
11-29,236.35,240.92,240.23,247.11,228.92,243.84,239.6,241.93,245.33,238.22,249.68,240.43,240.97,,232.73
11-30,240.03,239.85,236.37,253.07,243.465,,238.56,244.0,243.59,244.53,,,238.58,230.75,
12-01,244.28,238.69,261.76,256.7,233.04,231.05,242.14,241.61,,248.65,250.245,238.13,250.49,234.71,241.2
12-02,242.32,237.93,236.36,253.85,244.57,,247.93,241.59,241.12,248.22,,,252.66,231.88,
12-03,242.27,239.15,245.72,253.3,236.34,245.94,251.58,242.2,244.83,248.05,245.46,236.885,,233.64,245.995
12-04,240.58,230.69,239.09,256.135,,,256.27,238.22,244.78,,252.04,221.73,254.69,233.43,241.0
12-05,237.8,233.14,236.77,246.29,234.01,251.01,,,242.98,246.03500000000003,,225.68,,231.66,246.85
12-06,,236.91,247.53,251.32,,255.03,252.775,239.53,240.21,245.98,243.1,229.29,252.85,,246.0
12-07,240.8,235.06,246.74,253.34,232.6,,262.13,,236.98,246.21,,238.6,,225.02,241.98
12-08,234.16,253.26,243.94,253.94,222.89,259.43,252.61,236.28,,245.81,237.565,233.39,244.95,227.18,249.11
12-09,246.43,255.71,243.27,241.6,233.07,,253.89,,233.58,241.43,242.75,,245.85,228.37,
12-10,241.04,246.36,247.88,239.84,231.99,265.03,253.56,225.35,,239.28,251.33,237.56,,230.51,241.87
12-11,238.39,239.47,240.12,235.57,,262.62,251.12,225.58,239.9,,252.46,243.27,242.32,231.26,
12-12,239.22,233.96,,243.52,236.22,263.63,,233.15,235.17,233.16,246.44,241.89,,220.83,245.935
12-13,238.43,226.31,237.22,252.88,,257.19,245.745,224.47,231.57,,236.5,229.6,251.54500000000002,,251.41
12-14,243.82,226.48,240.16,248.82,220.68,,241.86,,236.86,242.0,,225.72,252.31,229.39,251.71
12-15,241.31,239.83,240.95,247.99,230.22,262.07,246.56,228.84,241.13,,240.67,222.34,247.85,,254.29
12-16,240.38,234.19,236.62,245.96,235.555,,243.93,231.73,242.13,242.62,,,244.61,227.035,
12-17,238.05,244.41,235.31,246.38,,257.02,245.95,228.97,,240.12,237.70999999999998,232.23,249.09,218.89,244.41
12-18,224.28,250.64,237.25,246.7,245.04,,244.83,226.94,238.245,,227.59,,255.99,222.48,
12-19,223.95,243.83,,244.17,233.08,245.66,244.18,224.83,239.99,240.57,237.36,233.96,,232.78,248.73000000000002
12-20,224.59,237.83,235.7,247.97,,246.95,245.63,226.6,230.64,,238.75,,250.3,235.16,234.09
12-21,239.45499999999998,239.84,233.25,248.9,242.58,246.11,,,231.36,246.655,,233.18,,231.56,240.95
12-22,243.99,249.94,232.88,254.18,,245.18,248.84,226.48,232.05,240.12,237.39,233.44,256.525,,246.69
12-23,244.54,240.05,231.39,252.77,240.695,,,,231.0,246.84,,,253.9,225.75,247.68
12-24,245.36,225.215,227.96,243.37,241.9,244.58,242.42,235.895,,243.06,256.015,244.43,246.02,225.87,253.64
12-25,248.98,,227.51,246.04,237.51,,246.07,231.21,229.59,245.08,250.43,,253.04,225.185,
12-26,254.9,234.66,226.67,239.48,237.79,253.15,247.18,230.38,,241.73,245.76,243.235,,,245.8
12-27,234.73,239.84,227.92,242.94,,248.57,247.68,224.11,240.10500000000002,,231.14,246.37,248.64,211.99,
12-28,234.92,248.33,231.18,240.97,241.89,249.25,,227.62,,251.01,232.13,241.01,,217.33,255.7
12-29,235.58,247.37,227.61,240.87,,243.9,253.01999999999998,232.99,244.04,,237.1,239.39,254.38,,241.0
12-30,229.49,227.57,225.69,,226.57,,253.14,,238.81,252.88,,244.49,256.6,230.65,253.48
12-31,225.77,217.32,221.89,249.55,219.71,240.86,254.66,227.375,243.92,252.62,251.3,242.44,256.86,,253.25
