,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
02-28,250.12,,264.42,243.08,,241.34,256.515,255.09,244.55,,264.87,258.86,244.135,,
03-01,258.975,,263.49,242.19,269.54,,251.13,,234.34,266.09000000000003,,,244.81,264.3,252.99
03-02,248.61,,262.85,242.5,264.24,273.24,253.98,256.13,246.09,,270.67,241.14,240.08,,251.82
03-03,259.76,244.56,264.79,242.83,,,263.14,261.19,260.98,252.55,,,242.18,267.615,
03-04,264.36,249.005,269.98,237.36,,255.13,,259.61,,245.25,273.23,244.12,,262.5,241.65
03-05,262.4,244.48,272.48,245.58,272.38,,274.15,256.17,245.82,259.96,267.95,,237.21,262.09,
03-06,261.3,247.38,270.95,240.97,275.07,253.75,279.05,267.97,261.24,267.95,269.43,258.73,,265.91,246.68
03-07,271.07,243.18,271.375,246.94,269.31,253.73,284.52,266.43,242.39,,273.6,,248.03,269.16,254.77
03-08,269.28499999999997,244.23,272.99,245.68,262.11,253.32,,260.62,233.71,268.85,,256.45,,262.43,241.96
03-09,268.25,236.54,266.29,248.68,,244.28,294.68,256.78,236.19,257.74,273.43,247.4,257.68,,241.14
03-10,265.76,239.57,264.13,233.0,254.65500000000003,247.48,,,228.93,259.95,,,255.25,259.08,
03-11,264.45,239.255,281.92,243.38,258.46,254.59,290.33,262.445,239.86,259.1,284.83000000000004,270.76,258.04,,232.71
03-12,264.3,248.57,267.22,240.52,261.54,,289.71,255.52,244.15,260.11,305.1,,,261.34,
03-13,255.23,248.35,270.17,250.5,262.57,260.38,282.36,261.46,,262.67,280.08,250.525,,,236.79
03-14,257.75,255.83,271.905,247.04,259.55,252.47,276.88,263.4,248.32,,269.63,252.76,,266.89,
03-15,246.74,255.99,264.26,253.35,258.74,253.06,,273.2,,262.97,269.01,250.16,,257.82,235.48
03-16,252.67,262.42,269.43,244.69,,256.86,280.40999999999997,276.93,253.55,,260.75,247.0,,,234.67
03-17,265.92,267.69,266.78,,254.86,271.28,279.96,,250.51,263.31,,257.55,263.56,261.4,239.04
03-18,260.87,270.21,272.08,240.94,253.86,259.37,276.42,260.16,245.6,255.28,263.6,252.85,260.74,,247.69
03-19,260.2,258.16,269.9,251.94,265.255,260.04,268.91,274.71,243.98,253.88,,,261.62,266.375,
03-20,272.95,260.085,264.38,259.59,261.52,262.94,,279.64,,260.55,263.89,254.86,,270.51,254.47
03-21,265.64,260.74,262.4,260.31,266.02,256.63,270.6,280.46,245.70499999999998,256.53,,,267.5,268.39,
03-22,268.49,257.54,262.61,258.09,270.47,259.92,271.25,280.72,262.71,263.21,262.31,257.115,,271.21,244.845
03-23,264.1,262.48,267.91999999999996,247.83,264.66,,265.53,284.4,242.7,,251.64,258.4,266.63,,240.48
03-24,254.59000000000003,261.25,268.83,246.53,268.91,254.06,,288.6,243.39,260.735,259.76,250.51,,268.98,247.22
03-25,,259.07,263.19,248.27,,257.76,265.33500000000004,287.91,242.36,261.16,263.23,249.81,267.89,,245.15
03-26,246.89,275.87,268.84,248.29,271.605,258.84,266.7,,247.76,255.43,,,,275.51,251.5
03-27,239.17,255.835,269.66,253.74,271.14,261.22,263.24,284.44,238.01,258.18,271.20000000000005,246.9,268.85,,251.46
03-28,254.07,259.25,266.18,244.56,269.97,,269.7,,239.45,267.57,280.37,,261.8,283.18,
03-29,246.86,254.28,260.92,246.46,263.54,252.175,264.63,270.27,,265.52,285.4,245.2,263.17,275.07,267.14
03-30,256.81,252.66,266.03,242.76,260.6,259.35,261.9,265.38,234.93,263.63,280.0,243.47,261.16,273.94,265.68
03-31,255.59,254.1,,246.36,259.63,266.31,,270.71,236.95,265.82,278.91,239.37,,267.14,269.69
04-01,263.43,256.98,270.21,252.01999999999998,,258.24,275.695,263.58,233.13,271.12,274.47,236.8,266.225,,
04-02,283.72,262.88,263.35,251.18,259.42,,281.26,,238.64,267.14,,235.55,265.38,270.63,258.81
04-03,274.91,264.17,267.0,251.89,253.91,259.89,277.23,282.325,246.93,,276.93,224.79,262.63,,257.78
04-04,278.31,264.56,272.19,255.31,262.71500000000003,254.93,275.82,270.15,254.91,260.04,,,267.15,262.47,264.48
04-05,275.26,263.655,269.71,254.38,,256.06,,274.15,,261.98,287.13,249.73,264.53,277.64,248.16
04-06,279.36,269.78,276.48,251.86,257.44,259.58,267.21,274.01,252.45,271.82,297.79,,259.41,265.45,
04-07,273.79,262.86,285.78,257.31,264.01,269.48,266.85,268.53,251.0,268.13,275.75,253.095,267.07,284.22,248.06
04-08,277.31,267.46,268.845,256.19,265.84,255.2,265.67,262.15,249.8,,273.9,,268.65,,259.22
04-09,267.78999999999996,256.73,263.78,263.27,273.74,256.96,261.48,272.12,243.48,277.07,282.39,249.92,267.9,276.07,259.69
04-10,268.96,257.11,283.44,263.3,,256.69,255.3,269.27,251.92,272.7,276.92,249.14,269.97,,256.96
04-11,272.9,259.24,267.34,262.68,262.07,253.69,,,252.41,275.85,,252.84,283.32,273.11,251.89
04-12,280.35,257.82,277.73,253.57,259.63,253.82,260.03,274.345,250.63,270.21,268.525,247.32,277.21,269.47,246.67
04-13,278.87,263.11,262.07,251.0,275.19,,276.01,297.98,250.58,272.6,281.96,,267.35,272.72,
