Date,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
01-01,45.48,25.04,8.933,33.2,38.633,38.2,34.52,21.72,5.28,21.111,9.44,23.84,16.686,13.925,18.978,21.556,25.375,12.477,12.711,15.091
01-02,56.4,49.68,13.4,18.679,49.321,35.333,47.421,43.9,17.533,36.565,43.28,23.56,14.629,18.325,26.4,18.591,18.225,27.825,25.195,27.745
01-03,68.111,26.92,35.4,58.667,45.9,56.5,51.84,50.933,35.2,50.609,28.76,39.286,21.857,30.629,27.022,11.651,21.4,30.806,25.548,40.741
01-04,31.389,43.04,36.8,43.2,16.179,66.733,73.0,25.6,63.3,39.0,21.92,47.84,47.8,43.5,28.756,22.978,40.9,31.467,37.146,30.0
01-05,74.042,44.367,18.133,30.64,36.68,71.96,58.333,58.762,61.6,43.25,47.818,53.739,45.406,44.25,31.133,18.977,25.25,36.6,24.622,30.091
01-06,72.96,48.567,28.64,45.929,30.857,59.067,22.8,36.24,44.45,23.522,49.417,47.739,28.733,29.45,28.474,22.19,11.135,40.625,23.556,19.255
01-07,68.28,42.2,41.429,19.25,33.133,61.586,59.28,38.64,43.9,48.174,57.65,40.8,36.033,47.306,51.056,13.359,12.125,31.75,25.311,25.612
01-08,75.36,38.667,41.31,50.76,39.682,30.3,51.36,23.522,45.227,73.917,32.273,48.696,21.667,18.143,41.0,12.583,12.8,22.822,23.214,33.673
01-09,46.32,56.111,60.567,74.481,34.567,21.433,78.81,26.667,44.789,70.32,26.68,13.458,27.968,7.949,39.85,34.857,30.943,38.4,39.132,22.039
01-10,73.16,26.167,48.862,63.7,26.08,43.808,68.24,56.136,55.917,65.8,28.28,47.0,39.226,37.386,29.925,32.867,20.857,43.098,47.951,21.309
01-11,75.0,46.172,54.036,44.964,37.6,63.654,74.895,50.045,55.12,30.478,52.538,32.182,23.318,36.366,23.15,22.378,21.457,36.55,45.733,21.472
01-12,71.2,55.0,28.133,18.08,58.357,46.345,66.28,35.158,41.08,48.167,61.76,20.2,31.188,30.762,24.45,36.513,49.667,35.119,27.067,22.527
01-13,53.0,59.833,9.714,20.867,62.542,40.143,43.32,42.52,32.6,21.227,54.36,36.913,42.4,20.356,38.061,48.789,24.75,29.444,27.422,10.982
01-14,26.12,39.867,20.87,37.045,78.318,55.7,44.6,35.92,37.16,69.083,19.565,45.333,48.629,24.023,32.784,43.35,9.375,35.467,21.044,15.4
01-15,35.36,56.433,35.68,67.2,37.963,50.167,49.12,57.24,49.391,50.368,11.059,38.08,32.273,41.333,11.757,37.333,22.9,24.844,47.289,29.556
01-16,22.8,58.6,57.8,50.111,20.067,13.067,47.087,36.391,14.682,25.2,27.958,12.2,37.062,39.95,56.158,37.184,36.025,30.421,43.711,23.569
01-17,20.28,66.167,60.267,44.467,13.867,64.074,62.08,21.188,10.7,38.375,17.64,43.167,35.125,27.357,21.175,31.55,44.6,28.235,45.405,31.2
01-18,54.44,30.133,63.567,36.967,20.96,39.87,73.0,40.833,26.542,27.84,20.957,57.9,35.0,49.256,39.0,14.467,44.103,39.944,38.341,24.511
01-19,79.913,21.267,42.733,35.192,78.333,30.48,88.909,55.625,34.0,44.762,50.0,44.261,45.036,38.341,26.023,37.667,36.125,25.026,39.513,21.96
01-20,84.75,52.667,24.6,43.04,53.692,56.179,71.16,33.32,32.6,39.647,41.24,45.875,43.188,26.4,54.422,35.227,49.0,11.457,31.8,12.98
01-21,78.55,32.467,33.793,55.76,42.862,85.28,64.0,27.52,47.76,40.05,32.0,47.96,37.65,25.068,16.955,27.05,36.194,21.675,21.85,38.191
01-22,64.32,54.333,36.778,55.654,50.385,56.12,39.96,49.542,47.632,54.045,75.318,34.32,31.25,32.625,54.026,19.27,29.882,21.025,31.575,31.24
01-23,76.1,55.0,38.393,23.321,47.0,22.8,41.045,33.0,55.682,60.16,57.95,12.84,40.282,32.061,53.14,28.308,31.657,36.8,39.075,20.182
01-24,42.905,68.0,41.357,42.4,35.4,49.259,30.28,15.059,57.4,36.48,58.2,23.25,31.829,24.073,28.136,22.59,38.475,30.533,28.314,16.62
01-25,72.8,66.897,31.9,38.367,23.3,48.367,27.176,40.12,49.773,38.68,53.0,40.091,14.364,33.5,32.5,29.525,55.462,41.756,24.444,22.873
01-26,75.6,94.76,36.172,31.433,65.24,56.25,35.588,42.64,38.0,56.059,49.682,31.045,34.775,40.343,27.511,21.091,16.111,49.356,37.825,13.364
01-27,61.7,63.92,32.0,20.182,52.667,70.0,53.0,32.44,24.182,60.391,42.609,36.92,31.921,25.143,39.907,38.938,12.55,41.9,26.977,7.473
01-28,80.55,42.8,43.067,58.207,51.043,53.25,65.8,26.52,47.0,44.0,33.684,53.56,28.897,34.0,31.178,15.2,29.353,35.273,11.267,20.02
01-29,62.087,61.783,44.84,43.759,26.185,51.233,39.05,56.913,41.0,50.739,34.318,35.16,16.395,21.286,26.047,19.171,73.533,22.333,15.822,25.709
01-30,48.13,39.615,37.12,43.12,22.815,34.4,49.0,19.625,54.85,36.0,23.64,19.333,34.111,32.657,35.556,33.471,61.2,33.278,20.511,15.42
01-31,59.05,51.107,42.821,55.52,24.633,57.909,47.65,23.696,44.16,49.333,38.92,20.36,41.564,47.857,47.5,31.15,21.086,35.25,48.459,23.036
02-01,54.24,41.3,18.5,44.667,50.5,41.833,38.381,13.217,32.0,23.833,20.542,18.75,37.778,38.0,40.872,11.925,31.8,32.741,34.395,28.574
