Date,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
01-01,1.984,1.3,0.615,1.41,1.193,1.567,1.468,0.748,0.292,0.571,0.4,0.72,0.563,0.547,0.77,0.764,0.8,0.488,0.189,0.346
01-02,2.224,2.403,0.993,0.989,1.564,1.31,1.821,1.43,0.565,1.052,1.288,0.748,0.474,0.663,0.823,0.588,0.55,0.587,0.449,0.507
01-03,2.996,1.52,1.788,2.047,1.64,2.02,1.633,1.76,1.115,1.264,0.9,1.036,0.686,0.964,0.9,0.404,0.595,0.688,0.3,0.667
01-04,1.716,2.05,1.87,1.716,0.696,2.197,1.92,0.933,1.532,1.032,0.793,1.128,1.16,1.278,0.863,0.756,1.025,0.688,0.531,0.48
01-05,2.804,2.273,1.38,1.36,1.112,2.276,1.664,1.605,1.428,0.908,1.296,1.221,1.025,1.28,0.92,0.668,0.727,0.666,0.298,0.482
01-06,2.872,2.317,1.61,1.786,1.0,1.877,0.968,1.172,1.104,0.683,1.257,1.139,0.649,0.968,0.866,0.764,0.306,0.84,0.295,0.372
01-07,2.728,1.98,2.044,1.282,1.157,1.886,1.88,1.116,1.06,1.204,1.381,1.112,0.777,1.382,1.323,0.508,0.359,0.682,0.362,0.449
01-08,2.712,2.003,2.059,1.973,1.414,1.203,1.588,0.85,1.068,1.675,1.271,1.258,0.531,0.688,1.08,0.395,0.382,0.608,0.332,0.572
01-09,1.976,3.081,2.993,2.826,1.22,0.917,2.333,0.98,0.995,1.584,1.163,0.492,0.714,0.31,1.04,1.383,0.68,0.838,0.603,0.409
01-10,2.96,1.811,2.414,2.51,1.576,1.563,2.228,1.645,1.379,1.52,0.917,1.623,0.827,1.1,0.73,0.857,0.606,0.846,0.672,0.41
01-11,2.988,2.447,2.571,1.993,1.48,1.974,2.379,1.45,1.377,0.788,1.412,0.926,0.612,1.056,0.733,0.713,0.477,0.718,0.705,0.36
01-12,2.938,2.617,1.89,1.003,2.004,1.621,1.964,1.137,1.137,1.204,1.84,0.736,0.673,0.992,0.76,0.957,1.164,0.684,0.385,0.438
01-13,2.736,2.82,0.892,1.003,1.868,1.471,1.356,1.364,0.887,0.69,1.407,1.074,1.034,0.724,0.988,1.148,0.642,0.602,0.362,0.208
01-14,2.213,1.783,1.346,1.75,2.933,1.97,1.46,1.172,1.083,1.693,0.545,1.317,1.017,0.796,1.074,1.097,0.36,0.773,0.35,0.316
01-15,1.964,2.673,1.865,2.55,1.703,1.663,1.56,1.756,1.3,1.344,0.486,1.025,0.782,1.284,0.404,0.946,0.602,0.564,0.747,0.58
01-16,1.572,2.74,2.976,1.719,1.4,0.65,1.626,1.187,0.572,1.083,0.869,0.445,0.797,1.155,1.482,0.921,0.988,0.675,0.645,0.457
01-17,1.53,3.585,3.093,1.803,0.837,1.974,1.904,0.812,0.652,1.183,0.61,1.177,0.765,0.77,0.627,0.8,1.032,0.615,0.678,0.564
01-18,2.668,1.88,3.34,1.41,0.808,1.496,2.242,1.258,0.977,0.903,0.721,1.38,0.708,1.418,1.031,0.527,0.988,0.77,0.632,0.457
01-19,3.076,1.496,2.077,1.411,2.322,1.176,2.548,1.512,1.073,1.326,1.304,1.248,1.018,1.066,0.707,1.127,0.945,0.505,0.629,0.334
01-20,3.264,2.723,1.317,1.681,1.908,1.821,2.168,1.12,0.953,1.164,1.127,1.258,0.953,0.73,1.423,0.993,1.03,0.295,0.423,0.236
01-21,3.24,1.689,1.817,2.073,1.407,2.577,1.928,0.968,1.257,1.176,1.057,1.268,0.812,0.703,0.44,0.843,0.774,0.435,0.311,0.681
01-22,3.012,2.818,2.037,1.8,1.608,1.95,1.305,1.508,1.287,1.377,1.526,0.94,0.72,0.97,1.35,0.574,0.705,0.538,0.514,0.504
01-23,3.156,2.844,2.139,0.97,1.607,1.01,1.464,1.076,1.396,1.527,1.312,0.476,0.895,0.931,1.346,1.013,0.662,0.682,0.631,0.362
01-24,2.184,3.403,2.018,1.472,1.58,1.789,1.24,0.718,1.332,1.15,1.407,0.8,0.777,0.779,0.812,0.673,0.871,0.602,0.509,0.271
01-25,3.212,2.817,1.633,1.348,1.01,1.673,1.482,1.26,1.248,1.02,1.348,1.155,0.4,0.993,0.807,0.96,1.166,0.74,0.448,0.416
01-26,2.932,4.497,1.755,1.252,2.536,1.904,1.623,1.42,1.04,1.428,1.196,1.032,0.76,1.1,0.743,0.69,0.446,0.91,0.731,0.232
01-27,3.012,3.324,1.43,1.059,1.778,1.944,1.932,1.632,0.908,1.507,1.131,1.084,0.763,0.788,1.028,1.081,0.338,0.738,0.403,0.144
01-28,3.148,2.337,2.207,1.972,1.667,1.725,2.268,0.892,1.228,1.23,0.992,1.356,0.653,0.983,0.78,0.593,0.712,0.653,0.227,0.372
01-29,2.888,3.27,2.184,1.779,1.4,1.64,1.495,1.729,1.112,1.336,1.052,1.008,0.455,0.672,0.796,0.68,1.784,0.612,0.313,0.492
01-30,2.34,2.918,2.132,1.704,1.196,1.213,1.65,0.883,1.488,1.042,0.8,0.721,0.975,0.956,0.903,0.99,1.145,0.749,0.345,0.278
01-31,3.176,3.464,2.415,2.164,1.143,1.857,1.715,0.957,1.207,1.372,1.193,0.76,0.903,1.321,1.14,0.853,0.532,0.719,0.885,0.434
02-01,2.66,2.768,1.36,1.737,1.75,1.5,1.51,0.622,1.056,0.893,0.826,0.645,0.975,1.14,1.08,0.443,0.68,0.645,0.697,0.537
02-02,2.552,2.607,2.36,1.792,2.2,1.621,2.112,0.883,1.303,0.844,1.536,0.976,1.007,0.863,0.753,0.76,0.458,0.568,0.276,0.414
02-03,2.968,2.723,1.61,1.656,1.946,1.261,2.13,1.352,0.903,1.142,0.881,0.557,0.77,0.783,0.79,0.555,0.846,0.635,0.503,0.353
02-04,2.56,1.6,1.939,1.779,0.945,1.693,1.524,0.86,0.877,0.8,1.536,0.6,0.679,0.807,0.7,0.747,0.997,0.462,0.297,0.322
02-05,2.26,1.994,1.57,1.55,0.917,2.203,1.272,0.964,0.996,0.752,1.195,0.612,0.472,0.915,0.887,0.527,0.94,0.425,0.257,0.427
02-06,2.136,2.792,2.083,2.211,1.196,1.81,1.276,1.544,1.375,1.603,1.748,0.535,0.603,0.955,1.043,0.977,0.685,0.436,0.495,0.491
02-07,2.536,2.571,2.047,1.8,1.69,2.07,1.425,1.125,1.167,1.447,1.136,0.68,1.306,1.168,0.987,0.793,0.638,0.597,0.489,0.404
02-08,1.35,3.472,2.288,1.493,1.24,2.233,1.576,1.0,1.07,1.213,0.812,1.141,0.556,1.015,0.758,0.767,0.622,0.59,0.254,0.231
02-09,3.0,3.187,1.71,1.03,1.583,1.752,1.605,1.308,1.06,1.409,1.321,0.918,0.711,0.862,0.383,0.423,0.658,0.322,0.6,0.313
02-10,2.848,2.5,1.49,1.3,1.597,1.257,1.428,1.172,0.803,1.148,0.752,0.928,1.0,0.463,0.843,0.84,0.738,0.845,0.39,0.256
02-11,3.514,2.29,2.337,1.536,1.842,1.773,1.283,1.292,1.297,0.986,0.57,0.952,0.918,1.107,0.883,0.835,0.908,0.551,0.16,0.358
02-12,3.252,3.087,3.376,1.797,2.2,1.677,1.356,0.864,0.948,1.39,1.215,1.072,0.512,1.096,0.855,0.653,0.653,0.5,0.55,0.261
02-13,2.596,3.037,2.36,1.517,1.346,1.05,1.425,1.58,1.008,1.327,0.935,0.988,0.414,1.076,0.973,0.983,0.53,0.797,0.647,0.522
02-14,2.576,3.45,2.572,1.55,1.173,1.379,1.804,1.632,0.841,1.157,0.7,0.867,0.587,0.814,1.024,1.08,0.722,0.507,0.436,0.419
02-15,3.0,2.977,2.187,1.053,0.577,1.326,1.629,1.358,1.22,1.0,1.021,1.08,0.469,0.997,0.543,1.02,0.762,0.45,0.45,0.469
02-16,2.848,2.907,1.612,1.067,1.1,1.2,1.508,1.518,1.133,0.937,1.237,1.36,0.5,0.603,0.657,0.693,0.882,0.256,0.549,0.316
02-17,2.548,2.67,1.584,1.57,1.15,1.538,1.656,1.108,0.887,1.087,1.27,1.219,0.645,0.927,0.956,0.673,0.463,0.244,0.327,0.187
02-18,2.86,2.253,2.144,1.718,1.204,1.104,1.276,0.792,1.067,1.177,1.12,1.0,0.44,0.735,0.996,0.99,0.783,0.459,0.313,0.427
02-19,1.94,2.83,2.22,1.538,2.411,1.35,0.888,1.384,1.15,1.163,0.724,1.048,0.503,0.952,0.8,0.8,0.851,0.326,0.29,0.23
02-20,1.448,2.807,1.684,0.728,0.987,1.027,1.516,1.372,1.05,0.693,0.74,0.8,0.692,0.643,0.978,0.857,0.737,0.253,0.262,0.204
02-21,2.712,2.827,1.867,1.157,1.157,1.411,1.758,1.24,1.054,0.983,1.096,1.0,0.655,0.563,0.683,0.707,0.646,0.534,0.428,0.094
02-22,2.584,3.29,1.111,1.527,0.748,1.213,1.642,1.404,1.089,0.437,1.335,0.847,0.695,0.589,0.85,0.503,0.697,0.474,0.43,0.29
02-23,2.58,2.84,2.204,0.937,0.57,1.354,1.18,1.525,1.023,0.878,0.88,0.928,0.74,0.887,0.647,0.567,0.431,0.458,0.538,0.316
